Fish_ID,Year,Date,Species,TL_mm,Mass_g,Diet_Mass_g,GutFullness,Sex,Liver_Mass_g,Gonad_Mass_g,Heart_Mass_g,prey_Amphipod,prey_Gammaracanthus.sp.,prey_Krill,prey_Fish,prey_Gammarus.sp.,prey_Copepod,prey_Onisimus.sp.,prey_Sand.lance,prey_Arctic.cod,prey_Digested,prey_Mysid,prey_Sea.Angel,prey_Jellyfish,prey_Algae,prey_Chironomid,prey_Undigestible,prey_Miscellaneous.Invert,prey_Themisto.sp.,prey_Miscellaneous
SSM005a,2018,8/1/18,Slimy,22,70,0.041,2,F,2.1,2.7,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSM005b,2018,8/2/18,Fourhorn,24,130,0.094,2,F,2.6,4.4,0.3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SSM006,2018,8/3/18,Fourhorn,18.8,50,0.751,2,F,1.6,2.7,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SSM007,2018,8/4/18,Fourhorn,25.6,220,19.563,5,F,11.6,9.7,0.4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SSM009,2018,8/7/18,Fourhorn,21.2,110,1.107,3,F,7.3,5,0.2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SSM012,2018,8/8/18,Slimy,NA,NA,0.054,2,F,1,0.4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SSM013,2018,8/8/18,Fourhorn,30,35.1,0.471,3,F,0.7,1.1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SSM014,2018,8/8/18,Fourhorn,28,51.3,0.738,2,F,5.5,4.3,0.4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SSM016,2018,8/8/18,Fourhorn,19.4,29.9,0.285,2,M,0.4,0.4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
SSM017,2018,8/8/18,Fourhorn,25,100,2.336,3,F,3.4,4.1,0.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SSM018,2018,8/9/18,Fourhorn,25.6,167.6,1.475,2,F,8.3,9.3,0.3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SSM019,2018,8/9/18,Fourhorn,14,23.1,1.822,3,F,0.9,0.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSM020,2018,8/9/18,Fourhorn,16,47.7,0.306,2,M,0.6,1.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SSM021,2018,8/9/18,Fourhorn,17,38.2,1.813,4,F,0.8,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SSM022,2018,8/9/18,Fourhorn,16.4,36.4,2.58,5,M,0.7,1.3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
SSM023,2018,8/9/18,Fourhorn,14.8,25.6,0.315,3,M,0.3,0.1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SSM024a,2018,8/9/18,Fourhorn,11.8,13.9,1.296,5,M,0.4,0.6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SSM024b,2018,8/10/18,Fourhorn,24.8,92.8,1.783,3,M,4.2,4,0.4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
SSM025,2018,8/10/18,Fourhorn,20.1,58.3,0.84,3,M,1.2,3.6,0.1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SSM026,2018,8/10/18,Fourhorn,28.8,212.5,3.267,3,F,12.9,12.7,0.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SSM027,2018,8/10/18,Fourhorn,18,54.7,2.98,4,F,1.6,2.4,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
SSM030,2018,8/14/18,Fourhorn,16,32.5,0.087,2,F,0.8,0.5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SSM031,2018,8/20/18,Fourhorn,20.2,90.3,5.507,5,M,3.2,2.8,0.2,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
SSM032,2018,8/20/18,Fourhorn,25.2,197.1,12.521,5,M,6.8,8.9,0.4,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
SSM033,2018,8/20/18,Fourhorn,20.4,65.7,4.391,4,F,1.9,1.3,0.1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSM034,2018,8/20/18,Fourhorn,25.9,177.8,4.514,4,M,8.4,8.2,0.6,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SSM035,2018,8/20/18,Fourhorn,19.5,66,6.645,5,M,2.2,2.1,0.1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
SSM036,2018,8/20/18,Fourhorn,15.4,29.6,3.117,4,F,0.9,0.3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SSM037,2018,8/21/18,Fourhorn,26.2,181.5,6.771,4,M,3.9,3.2,0.6,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
SSM038,2018,8/21/18,Slimy,13.8,20.7,0.833,4,M,0.5,0.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SSM039,2018,8/21/18,Slimy,15.4,56.2,2.751,4,F,2.3,2.6,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
SSM040,2018,8/21/18,Fourhorn,20.8,80.3,1.937,3,F,3.5,3.6,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SSM041,2018,8/26/18,Fourhorn,20.8,94.9,4.041,4,M,4.3,5.4,0.2,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
SSM043,2018,8/26/18,Slimy,17.9,82.3,0.325,2,F,4.7,4.5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SSM044,2018,8/26/18,Slimy,11.4,20.3,0.19,2,F,0.6,0.2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
SSM045,2018,8/26/18,Fourhorn,27.1,224.4,0.664,2,F,16.2,21,0.6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SSM046,2018,8/28/18,Fourhorn,27,237.5,15.738,5,F,15.7,16.6,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
SSM047,2018,8/30/18,Fourhorn,25.9,163.2,0.857,2,F,11.5,16.4,0.3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SSM048,2018,8/30/18,Fourhorn,24.5,126.8,0.965,2,M,4.7,4.4,0.2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SSM052,2018,9/2/18,Fourhorn,18.8,47.5,0.386,2,M,1,2.9,0.1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SSM053,2018,9/3/18,Fourhorn,23.8,133.4,1.811,3,M,7.6,7.3,0.2,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
SSM054,2018,9/3/18,Fourhorn,18.7,57.3,1.257,3,F,1.9,1.3,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SSM055,2018,9/4/18,Fourhorn,28.2,282.2,13.219,4,F,18,25.9,0.7,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
SSM056,2018,9/4/18,Fourhorn,25.8,196.2,2.453,3,F,11,14.7,0.4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
SSM057,2018,9/4/18,Fourhorn,19,74.6,4.28,5,F,4.3,5.7,0.2,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
SSM058,2018,9/6/18,Fourhorn,24.8,184.8,4.402,3,F,14.9,23.5,0.4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
SSM059,2018,9/6/18,Fourhorn,24.6,139.9,2.486,3,F,8.5,11.5,0.3,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
SSM060,2019,8/12/19,Fourhorn,13.32,16.9,0.1,NA,M,0.1,0.9,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SSM061,2019,8/13/19,Fourhorn,14.63,23,0.2,NA,M,0.3,0.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSM062,2019,8/13/19,Fourhorn,14.83,25.5,0.8,NA,M,0.3,1.4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSM064,2019,8/15/19,Fourhorn,16.6,29.4,0.6,NA,F,0,0.5,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
SSM065,2019,8/16/19,Fourhorn,16.4,29,0.2,NA,F,0.3,0.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSM066,2019,8/16/19,Fourhorn,13.24,18.2,1.4,NA,F,0.1,0.2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
SSM067,2019,8/16/19,Fourhorn,15.2,26.2,0,NA,M,0.4,1.4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SSM068,2019,8/18/19,Fourhorn,13.9,21.8,1.4,NA,F,0.3,0.2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSM069,2019,8/18/19,Fourhorn,15.02,27.5,0.8,NA,F,0.3,0.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSM070,2019,8/18/19,Fourhorn,13.42,17,0.4,NA,M,0.3,0.5,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SSM071,2019,8/18/19,Fourhorn,12.59,16.8,1.4,NA,F,0.3,0.2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSM072,2019,8/18/19,Fourhorn,14.55,22.4,0.8,NA,F,0.2,0.2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSM073,2019,8/19/19,Fourhorn,14.98,27.1,1.2,NA,F,0.2,0.3,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SSM074,2019,8/19/19,Fourhorn,13.6,16.8,0,NA,F,0.1,0.2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SSM075,2019,8/19/19,Fourhorn,13.04,16.1,0.2,NA,M,0.2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SSM076,2019,8/21/19,Slimy,12.09,23.2,2.3,NA,M,0.7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSS001,2018,7/20/18,Arctic char,90,6000,89.785,NA,NA,NA,NA,NA,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SSS002,2018,7/23/18,Arctic char,62,1800,2.834,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SSS003,2018,7/26/18,Arctic char,NA,NA,39.519,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
SSS004,2018,7/29/18,Arctic char,67,2350,27.751,4,NA,46,24.3,NA,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
SSS005,2018,7/30/18,Arctic char,73.2,2700,1.017,2,M,52.8,8.5,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SSS006,2018,7/30/18,Arctic char,86,4550,1.271,2,M,101.9,11.1,NA,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
SSS007,2018,7/30/18,Arctic char,85,5600,9.342,2,M,115.6,9.6,10.7,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
SSS008,2018,7/30/18,Arctic char,63.2,1750,2.101,2,F,32.1,15.6,2.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SSS009,2018,8/1/18,Arctic char,72.4,2400,11.869,3,M,40.1,6.6,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
SSS010,2018,8/2/18,Arctic char,65.4,2020,1.784,2,M,30.4,4.3,4.6,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SSS011,2018,8/2/18,Arctic char,66.8,1800,1.225,2,F,35,19.6,3.9,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SSS012,2018,8/4/18,Arctic char,67,NA,1.759,2,M,34.3,5.7,5.1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SSS013,2018,8/4/18,Arctic char,59,1940,0.655,2,F,40.7,11.4,4.1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
SSS014,2018,8/4/18,Arctic char,63.2,2250,6.582,2,F,45.2,17.3,4.2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SSS015,2018,8/6/18,Arctic char,79,4000,56.1,3,M,65.6,10,NA,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
SSS016,2018,8/6/18,Arctic char,75,3720,1.983,2,M,51.8,7.5,5.5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
SSS017A,2018,8/6/18,Arctic char,90.8,5550,0.318,2,M,89.8,11.7,18,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
SSS017B,2018,8/8/18,Arctic char,76,3150,2.501,3,F,64.5,43.2,10,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
SSS018,2018,8/8/18,Arctic char,41.4,620,6.047,3,F,11,1.1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
SSS019,2018,8/14/18,Arctic char,82,4350,3.282,2,F,80.6,45.6,9.9,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
SSS020,2018,8/19/18,Arctic char,83,6600,67.465,5,M,145.3,11.2,12.2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SSS022,2018,8/28/18,Arctic char,77.6,3900,25.572,4,M,82.9,52.6,18.3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SSS53,2019,8/14/19,Arctic char,42.4,700,9.3,NA,M,14.6,1,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
SSS23,2019,8/8/19,Arctic char,64,2350,40.2,NA,F,51.1,14.3,3.5,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
SSS24,2019,8/8/19,Arctic char,66.2,3400,63.8,NA,M,77.7,2.9,4.7,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
SSS25,2019,8/8/19,Arctic char,61.8,2700,51.6,NA,F,57.2,20.7,3.8,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
SSS26,2019,8/8/19,Arctic char,68,3100,28,NA,M,65.1,7.2,5.3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
SSS27,2019,8/10/19,Arctic char,65.4,2950,113.1,NA,M,63.1,1.1,5.4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
SSS28,2019,8/10/19,Arctic char,67,3200,116.1,NA,F,83.8,30.5,7.3,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
SSS29,2019,8/10/19,Arctic char,67.2,3800,176,NA,F,107,28.5,7.2,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
SSS30,2019,8/10/19,Arctic char,64.6,2850,108.6,NA,F,57.5,18.5,4.3,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0
SSS31,2019,8/10/19,Arctic char,64,2950,120.3,NA,M,56.8,6.3,6.2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
SSS32,2019,8/10/19,Arctic char,62.8,2800,129.6,NA,M,59.9,1.8,4.8,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
SSS33,2019,8/10/19,Arctic char,61.2,2500,98.5,NA,M,51.1,2.3,4,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
SSS34,2019,8/10/19,Arctic char,71,3650,54.3,NA,M,67.8,3.7,7.3,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
SSS35,2019,8/11/19,Arctic char,66.4,3250,15.5,NA,F,67.4,34.5,6.6,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
SSS36,2019,8/11/19,Arctic char,79.2,5100,16.3,NA,F,114.5,58.5,9.8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SSS37,2019,8/11/19,Arctic char,71.4,4450,61.6,NA,M,95.6,4.1,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
SSS38,2019,8/11/19,Arctic char,64.4,2700,72.6,NA,M,50.6,1.8,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
SSS39,2019,8/11/19,Arctic char,44.6,900,36.5,NA,J,18.9,0.2,2,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
SSS40,2019,8/11/19,Arctic char,70,3300,131.8,NA,F,84.8,21.7,6.7,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0
SSS41,2019,8/12/19,Arctic char,73,3850,113.6,NA,F,90.9,16.8,7.8,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
SSS42,2019,8/12/19,Arctic char,64.6,3250,84,NA,F,83.2,18.7,6.2,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
SSS43,2019,8/13/19,Arctic char,75.2,4300,71.2,NA,M,75.5,6.6,3,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
SSS44,2019,8/13/19,Arctic char,48.6,1300,35.7,NA,M,23.6,0.4,2.5,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
SSS45,2019,8/13/19,Arctic char,72.8,4050,44.9,NA,M,101.5,2,7.1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
SSS46,2019,8/13/19,Arctic char,63,2650,56.8,NA,F,70.1,19,7.5,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
SSS48,2019,8/13/19,Arctic char,80.2,4950,12.9,NA,M,126.4,7.3,9.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
SSS49,2019,8/13/19,Arctic char,68.6,3400,90.6,NA,F,97,34,6.3,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
SSS50,2019,8/13/19,Arctic char,46,1050,21.6,NA,F?,23.1,NA,1.4,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
SSS51,2019,8/13/19,Arctic char,61.2,2550,78.7,NA,M,51,1.9,4.1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
SSS52,2019,8/14/19,Arctic char,50.6,1350,41.2,NA,J,21.4,NA,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
TCH01,2017,7/19/17,Arctic char,72,3000,NA,NA,F,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
TCH02,2017,7/19/17,Arctic char,64,2100,NA,NA,F,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TCH03,2017,7/19/17,Arctic char,70,2700,NA,NA,M,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
TCH04,2017,7/19/17,Arctic char,80,5600,NA,5,M,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
TCH05,2017,7/19/17,Arctic char,54,1400,NA,NA,F,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
TCH06,2017,7/19/17,Arctic char,69,2700,NA,2,M,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
TCH07,2017,7/19/17,Arctic char,68,3100,NA,5,M,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
