Fish_ID,Year,Date,Species,TL_mm,Mass_g,Diet_Mass_g,GutFullness,Sex,Liver_Mass_g,Gonad_Mass_g,Heart_Mass_g,prey_Amphipod,prey_Gammaracanthus.sp.,prey_Krill,prey_Fish,prey_Gammarus.sp.,prey_Copepod,prey_Onisimus.sp.,prey_Sand.lance,prey_Arctic.cod,prey_Digested,prey_Mysid,prey_Sea.Angel,prey_Jellyfish,prey_Algae,prey_Chironomid,prey_Undigestible,prey_Miscellaneous.Invert,prey_Themisto.sp.,prey_Miscellaneous
FH143,2017,8/9/17,Fourhorn,20,68.1,NA,2,M,2.4,1.6,NA,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FH144,2017,8/9/17,Fourhorn,20.5,69.2,NA,1,F,1.6,3.6,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FH151,2017,8/10/17,Fourhorn,18,50.1,NA,3,M,1.1,1.1,NA,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FH154,2017,8/10/17,Fourhorn,18.8,59.7,NA,2,M,2.2,0.3,NA,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FH155,2017,8/10/17,Fourhorn,26.5,231.6,NA,1,F,14.9,21.2,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FH156,2017,8/10/17,Fourhorn,27.2,280.8,NA,5,F,13.2,11.7,NA,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
FH157,2017,8/10/17,Fourhorn,28,235.5,NA,2,F,18.1,19.4,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
FH18,2017,7/24/17,Fourhorn,21,100,NA,5,F,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FH180,2017,8/13/17,Fourhorn,19.5,63.5,NA,3,M,1,4.9,NA,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FH181,2017,8/13/17,Fourhorn,17.2,40.8,NA,3,F,0.9,0.5,NA,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FH19,2017,7/24/17,Fourhorn,22.2,117.2,NA,5,M,2.7,5.2,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
