"Fish_ID","Date","Species","TL_mm","Mass_g","Sex","Diet_Mass_g","GutFullness","Year","Liver_Mass_g","Gonad_Mass_g","Heart_Mass_g"
"FH86",2017-08-03,"Fourhorn",22,84.8,"M",NA,2,"2017",2.4,2.4,NA
"FH84",2017-08-03,"Fourhorn",25.5,155.2,"M",NA,2,"2017",3.5,8.5,NA
"S33",2017-08-06,"Fourhorn",16,50.5,"M",NA,5,"2017",1.5,NA,NA
"S32",2017-08-06,"Fourhorn",17.9,78.6,"M",NA,5,"2017",4.2,0.1,NA
"FH106",2017-08-07,"Fourhorn",14.7,25.5,"M",NA,2,"2017",0.6,1.4,NA
"FH105",2017-08-07,"Fourhorn",15.3,33.9,"M",NA,2,"2017",0.5,0.5,NA
"FH145",2017-08-09,"Fourhorn",18,48,"M",NA,1,"2017",1.5,0.9,NA
"S34",2017-08-09,"Slimy",17,62.5,"M",NA,4,"2017",3.1,1.7,NA
"FH143",2017-08-09,"Fourhorn",20,68.1,"M",NA,2,"2017",2.4,1.6,NA
"FH142",2017-08-09,"Fourhorn",25.5,150.2,"M",NA,1,"2017",3.8,8.8,NA
"S37",2017-08-10,"Slimy",14.5,34.2,"M",NA,4,"2017",1,0.6,NA
"FH151",2017-08-10,"Fourhorn",18,50.1,"M",NA,3,"2017",1.1,1.1,NA
"FH154",2017-08-10,"Fourhorn",18.8,59.7,"M",NA,2,"2017",2.2,0.3,NA
"S38",2017-08-12,"Slimy",12.5,21.8,"M",NA,3,"2017",0.7,NA,NA
"S42",2017-08-12,"Slimy",12.9,27.7,"M",NA,3,"2017",0.5,0.7,NA
"S39",2017-08-12,"Slimy",15.2,39.8,"M",NA,3,"2017",0.9,0.2,NA
"S44",2017-08-13,"Slimy",9.8,11.9,"M",NA,2,"2017",0.4,0.1,NA
"S43",2017-08-13,"Slimy",12,18.5,"M",NA,4,"2017",0.3,NA,NA
"S46",2017-08-13,"Slimy",11.2,20.6,"M",NA,5,"2017",0.4,0.2,NA
"FH180",2017-08-13,"Fourhorn",19.5,63.5,"M",NA,3,"2017",1,4.9,NA
"S62",2017-08-17,"Slimy",12.9,30.2,"M",NA,3,"2017",1.2,0.2,NA
"S65",2017-08-18,"Slimy",14,29.8,"M",NA,5,"2017",0.6,1,NA
"S64",2017-08-18,"Slimy",13.5,31.4,"M",NA,4,"2017",0.7,0.1,NA
"S63",2017-08-18,"Slimy",16.5,58.2,"M",NA,5,"2017",0.8,0.1,NA
"FH235",2017-08-19,"Fourhorn",18.3,60.3,"M",NA,4,"2017",0.8,2.6,NA
"FH233",2017-08-19,"Fourhorn",21.8,92.6,"M",NA,2,"2017",1.3,5,NA
"FH236",2017-08-19,"Fourhorn",23.3,93.3,"M",NA,3,"2017",1.9,4.4,NA
"FH251",2017-08-21,"Fourhorn",14,26,"M",NA,4,"2017",0.4,0.1,NA
"S74",2017-08-21,"Slimy",17.2,59.7,"M",NA,2,"2017",1.1,1.6,NA
"FH8",2017-07-23,"Fourhorn",16.5,43,"M",NA,4,"2017",NA,NA,NA
"FH6",2017-07-23,"Fourhorn",22,93,"M",NA,5,"2017",NA,NA,NA
"FH12",2017-07-23,"Fourhorn",25.3,147.6,"M",NA,3,"2017",NA,NA,NA
"S1",2017-07-24,"Slimy",14.2,42.4,"M",NA,5,"2017",1.4,0.5,NA
"FH21",2017-07-24,"Fourhorn",16.5,46.2,"M",NA,2,"2017",1.3,1.6,NA
"FH19",2017-07-24,"Fourhorn",22.2,117.2,"M",NA,5,"2017",2.7,5.2,NA
"FH257",2017-08-24,"Fourhorn",11.5,12,"M",NA,4,"2017",0.6,0.8,NA
"FH265",2017-08-24,"Fourhorn",12,15,"M",NA,2,"2017",0.5,NA,NA
"FH264",2017-08-24,"Fourhorn",13,20,"M",NA,3,"2017",0.7,0.1,NA
