"Fish_ID","Year","Date","Content","Category","Count","Mass","Species","TL_mm","Mass_g","Sex","Diet_Mass_g","GutFullness","Liver_Mass_g","Gonad_Mass_g","Heart_Mass_g"
"FH22",2017,2017-07-24,"shrimp","Mysid",8,NA,"Fourhorn",20.7,74.2,"F",NA,2,3.1,2.3,NA
"FH221",2017,2017-08-17,"unidentified digesta","Digested",NA,NA,"Fourhorn",21.2,NA,"F",NA,2,2.2,1.4,NA
"FH221",2017,2017-08-17,"sea angel","Sea Angel",1,NA,"Fourhorn",21.2,NA,"F",NA,2,2.2,1.4,NA
"FH221",2017,2017-08-17,"krill","Krill",1,NA,"Fourhorn",21.2,NA,"F",NA,2,2.2,1.4,NA
"FH221",2017,2017-08-17,"mysid","Mysid",1,NA,"Fourhorn",21.2,NA,"F",NA,2,2.2,1.4,NA
"FH221",2017,2017-08-17,"red amphipod","Amphipod",3,NA,"Fourhorn",21.2,NA,"F",NA,2,2.2,1.4,NA
"FH222",2017,2017-08-17,"krill and mysids","Krill",NA,6.8,"Fourhorn",21.7,105.5,"F",NA,4,4.7,6.6,NA
"FH222",2017,2017-08-17,"cnidarian jelly","Fish",1,NA,"Fourhorn",21.7,105.5,"F",NA,4,4.7,6.6,NA
"FH222",2017,2017-08-17,"red amphipods","Amphipod",5,NA,"Fourhorn",21.7,105.5,"F",NA,4,4.7,6.6,NA
"FH223",2017,2017-08-17,"leaves","Algae",2,NA,"Fourhorn",20.1,73.8,"F",NA,3,2.3,1.6,NA
"FH223",2017,2017-08-17,"onisimus litoralis","Onisimus sp.",1,NA,"Fourhorn",20.1,73.8,"F",NA,3,2.3,1.6,NA
"FH223",2017,2017-08-17,"red amphipods","Amphipod",20,NA,"Fourhorn",20.1,73.8,"F",NA,3,2.3,1.6,NA
"FH223",2017,2017-08-17,"gammarids","Gammarus sp.",30,NA,"Fourhorn",20.1,73.8,"F",NA,3,2.3,1.6,NA
"FH223",2017,2017-08-17,"gammaracanthus sp","Gammaracanthus sp.",1,NA,"Fourhorn",20.1,73.8,"F",NA,3,2.3,1.6,NA
"FH223",2017,2017-08-17,"mysid","Mysid",1,NA,"Fourhorn",20.1,73.8,"F",NA,3,2.3,1.6,NA
"FH224",2017,2017-08-17,"onisimus litoralis","Onisimus sp.",3,NA,"Fourhorn",17.9,49.9,"F",NA,4,1.1,0.9,NA
"FH224",2017,2017-08-17,"mysids","Mysid",50,NA,"Fourhorn",17.9,49.9,"F",NA,4,1.1,0.9,NA
"FH224",2017,2017-08-17,"krill","Krill",1,NA,"Fourhorn",17.9,49.9,"F",NA,4,1.1,0.9,NA
"FH224",2017,2017-08-17,"red amphipod","Amphipod",5,NA,"Fourhorn",17.9,49.9,"F",NA,4,1.1,0.9,NA
"FH224",2017,2017-08-17,"unidentified digesta","Digested",NA,NA,"Fourhorn",17.9,49.9,"F",NA,4,1.1,0.9,NA
"FH225",2017,2017-08-17,"krill","Krill",8,NA,"Fourhorn",14,23.6,"F",NA,3,0.6,NA,NA
"FH225",2017,2017-08-17,"mysid","Mysid",2,NA,"Fourhorn",14,23.6,"F",NA,3,0.6,NA,NA
