Fish_ID,Year,Date,Content,Category,Count,Mass,Species,TL_mm,Mass_g,Sex,Diet_Mass_g,GutFullness,Liver_Mass_g,Gonad_Mass_g,Heart_Mass_g
Char 68,2017,8/9/17,cod,Arctic cod,1,NA,Arctic char,60,1900,M,NA,4,33.6,5.2,NA
Char 68,2017,8/9/17,amphipod,Amphipod,100,NA,Arctic char,60,1900,M,NA,4,33.6,5.2,NA
Char 69,2017,8/9/17,amphipod,Amphipod,20,NA,Arctic char,35.5,450,M,NA,1,9.7,NA,NA
Char 69,2017,8/9/17,copepod,Copepod,80,NA,Arctic char,35.5,450,M,NA,1,9.7,NA,NA
Char 86,2017,8/12/17,copepod,Copepod,NA,2,Arctic char,53.5,1450,M,NA,4,26.7,0.17,NA
Char 86,2017,8/12/17,amphipod,Amphipod,200,NA,Arctic char,53.5,1450,M,NA,4,26.7,0.17,NA
Char 87,2017,8/12/17,copepod,Copepod,NA,9,Arctic char,57,1600,F,NA,5,28.2,14.7,NA
Char 87,2017,8/12/17,amphipod,Amphipod,160,NA,Arctic char,57,1600,F,NA,5,28.2,14.7,NA
Char 87,2017,8/12/17,krill,Krill,5,NA,Arctic char,57,1600,F,NA,5,28.2,14.7,NA
Char 88,2017,8/12/17,copepod,Copepod,NA,2.5,Arctic char,56.5,1650,M,NA,5,28.6,3.8,NA
Char 88,2017,8/12/17,amphipod,Amphipod,600,NA,Arctic char,56.5,1650,M,NA,5,28.6,3.8,NA
Char 88,2017,8/12/17,krill,Krill,2,NA,Arctic char,56.5,1650,M,NA,5,28.6,3.8,NA
Char 89,2017,8/12/17,copepod,Copepod,NA,4,Arctic char,55,1625,M,NA,5,28.2,1.1,NA
Char 89,2017,8/12/17,fish,Fish,NA,NA,Arctic char,55,1625,M,NA,5,28.2,1.1,NA
Char 89,2017,8/12/17,amphipod,Amphipod,740,NA,Arctic char,55,1625,M,NA,5,28.2,1.1,NA
